station_id,station_name,municipality,latitude,longitude,wheelchair_accessible,location_type,vehicle_type
2691,Broadway opp Packard Ave,Somerville,42.402309,-71.12519,True,0,3.0
node-andrw-nibstairs-lobby,Andrew,Boston,,,True,3,
920,Cambridge St @ Washington St,Boston,42.348903,-71.150156,True,0,3.0
1780,Longwood Ave @ Blackfan St,Boston,42.337436,-71.104448,True,0,3.0
node-aport-buses-farepaid,Airport,Boston,42.374122,-71.030096,True,3,
node-aqucl-wbatlanticstairs-lobby,Aquarium,Boston,,,True,3,
51835,Lee St @ Sears Rd,Brookline,42.318402,-71.14092,True,0,3.0
5211,Park St opp Gertrude Rd,Boston,42.280761,-71.148451,True,0,3.0
2792,Poplar St @ Deforest St,Boston,42.271001,-71.131905,True,0,3.0
2510,Somerville Ave @ Union Square,Somerville,42.379996,-71.096698,True,0,3.0
node-symcl-eb-fareunpaid,Symphony,Boston,,,True,3,
70242,Symphony,Boston,42.342687,-71.085056,False,0,0.0
246,Summer St @ Pappas Way,Boston,42.344167,-71.039113,True,0,3.0
place-pktrm,Park Street,Boston,42.356395,-71.062424,True,1,
962,Brighton Ave @ Linden St,Boston,42.352908,-71.130286,True,0,3.0
node-tumnl-tre-farepaid,Tufts Medical Center,Boston,,,True,3,
76479,Hyde Park Ave @ Walk Hill St,Boston,42.296076,-71.116079,True,0,3.0
door-fldcr-busway,"Busway, Street",Boston,42.300019,-71.061475,True,2,
1617,Opp 67 Crown Point Dr,Boston,42.257205,-71.146429,True,0,3.0
1552,High St @ Cypress St,Brookline,42.324798,-71.121275,True,0,3.0
1574,Blue Hill Ave @ Moreland St,Boston,42.322776,-71.076673,True,0,3.0
2598,Somerville Ave @ Linden St,Somerville,42.378506,-71.09271,True,0,3.0
70090,Fields Corner,Boston,42.299935,-71.061945,True,0,1.0
node-808-gl,Park Street,Boston,,,True,3,
1939,775 Centre St,Boston,42.309949,-71.115345,True,0,3.0
place-matt,Mattapan,Boston,42.26762,-71.092486,True,1,
2920,Columbia Rd @ Seaver St,Boston,42.30431,-71.082426,True,0,3.0
node-437-lobby,Ashmont,Boston,42.284978,-71.064163,True,3,
16498,Hyde Park Ave @ Metropolitan Ave,Boston,42.270468,-71.120666,True,0,3.0
6,Melnea Cass Blvd @ Harrison Ave,Boston,42.332016,-71.079576,True,0,3.0
70500,Lechmere,Cambridge,42.371962,-71.07752,True,0,3.0
door-knncl-sbcarleton,Carleton St,Cambridge,42.362005,-71.086255,False,2,
266,E 8th St @ M St,Boston,42.331439,-71.033352,True,0,3.0
21158,Harrison Ave opp Plympton St,Boston,42.339855,-71.069091,True,0,3.0
node-sdmnl-pob-platform,Suffolk Downs,Boston,42.390396,-70.997086,True,3,
NB-0072-B1,Bellevue - Belgrade Ave @ McCraw St,Boston,42.285984,-71.145019,True,0,3.0
node-orhte-sara-fareunpaid,Orient Heights,Boston,42.386891,-71.004446,True,3,
DB-2230,Morton Street,Boston,42.280994,-71.085475,True,0,2.0
1242,Tremont St @ Charles St S,Boston,42.348777,-71.066481,True,0,3.0
node-957-lobby,Fields Corner,Boston,42.30014,-71.061747,True,3,
node-920-lobby,Prudential,Boston,,,True,3,
1114,Cambridge St @ N Harvard St,Boston,42.357758,-71.126505,True,0,3.0
41111,250 Mt Vernon St @ Geiger Gibson Health Center,Boston,42.319029,-71.045472,True,0,3.0
2700,Broadway @ Medford St - Magoun Sq,Somerville,42.397203,-71.104096,True,0,3.0
node-grnst-844-lobby,Green Street,Boston,42.31037,-71.107662,True,3,
969,Cambridge St @ Dustin St,Boston,42.350864,-71.145539,True,0,3.0
node-forhl-crstairs-lobby,Forest Hills,Boston,42.300807,-71.113842,True,3,
node-alfcl-wgaragestairs-fourth,Alewife,Cambridge,42.395511,-71.142221,True,3,
WML-0012-07,Back Bay,Boston,42.34759,-71.075393,True,0,2.0
23841,Medford St @ Glenwood Rd,Somerville,42.394543,-71.102259,True,0,3.0
door-spmnl-obrienel,"Monsignor O'Brien Hwy, Museum of Science (Elevator)",Boston,42.36665,-71.067966,True,2,
5851,Bennington St @ Putnam St,Boston,42.377566,-71.031805,False,0,3.0
node-765-top,Gilman Square,Somerville,42.387695,-71.096277,True,3,
2612,Somerville Ave @ Stone Ave,Somerville,42.379547,-71.095164,True,0,3.0
12636,Broadway opp Clarendon Hill Busway,Somerville,42.406461,-71.132577,True,0,3.0
922,Cambridge St opp Dustin St,Boston,42.350692,-71.145688,True,0,3.0
178,Saint James Ave @ Dartmouth St,Boston,42.349505,-71.076639,True,0,3.0
node-rugg-forsythstairs-top,Ruggles,Boston,,,True,3,
node-tumnl-trenbstairs-platform,Tufts Medical Center,Boston,,,True,3,
290,W 6th St @ D St,Boston,42.336832,-71.053007,True,0,3.0
1929,Ipswich St opp Lansdowne St,Boston,42.347221,-71.094218,True,0,3.0
door-butlr-bearse,"Bearse Ave, Butler St",Boston,42.272115,-71.062677,True,2,
1535,Boylston St @ Chestnut Hill Ave,Brookline,42.326526,-71.143465,False,0,3.0
node-dwnxg-stair4-platform,Downtown Crossing,Boston,,,True,3,
node-alfcl-pickstairs-top,Alewife,Cambridge,42.395639,-71.142093,True,3,
node-419-middle,South Station,Boston,,,True,3,
2801,Metropolitan Ave @ Kittredge St,Boston,42.280149,-71.131686,True,0,3.0
node-905-passage,Haymarket,Boston,,,True,3,
1811,Brookline St @ Granite St,Cambridge,42.355374,-71.109987,True,0,3.0
10015,Harrison Ave @ E Newton St,Boston,42.337402,-71.072162,True,0,3.0
42876,Mystic Ave @ Plaza Entrance - Home Depot,Somerville,42.388869,-71.080039,True,0,3.0
632,Washington St @ Cornell St,Boston,42.279437,-71.135573,True,0,3.0
214,Seaport Blvd @ Pier 4 Blvd,Boston,42.351012,-71.043647,True,0,3.0
node-prmnl-ebstair-lobby,Prudential,Boston,,,True,3,
1755,Heath St @ Wensley St,Boston,42.326453,-71.100404,True,0,3.0
node-768-bottom,Magoun Square,Somerville,42.393894,-71.106514,True,3,
2025,Mt Auburn St @ Longfellow Rd,Cambridge,42.374987,-71.134068,True,0,3.0
node-shmnl-endstair-platform,Savin Hill,Boston,42.311098,-71.053417,True,3,
8970,River St opp Neponset Valley Pkwy,Boston,42.244718,-71.137011,True,0,3.0
door-fldcr-charles,Charles St,Boston,42.300463,-71.061868,True,2,
2774,Washington St @ Medford St,Somerville,42.379792,-71.089974,True,0,3.0
door-dwnxg-hawley,Hawley St (Escalator),Boston,42.355229,-71.059366,False,2,
node-rcmnl-134-lobby,Roxbury Crossing,Boston,42.331227,-71.095574,True,3,
node-andrw-nibstairs-platform,Andrew,Boston,,,True,3,
6408,Washington St @ Woodglen Rd,Boston,42.244739,-71.122396,True,0,3.0
2737,Broadway @ Pearson Rd,Somerville,42.400501,-71.113803,True,0,3.0
70129,Griggs Street,Boston,42.348919,-71.134305,False,0,0.0
door-prmnl-huntington,Huntington Ave,Boston,42.345791,-71.081609,False,2,
1147,Dudley St @ Guild Row,Boston,42.328969,-71.086206,True,0,3.0
2580,Holland St @ Jay St,Somerville,42.399341,-71.124909,True,0,3.0
520,Arborway @ Courthouse,Boston,42.30135,-71.109364,True,0,3.0
1026,Chestnut Hill Ave @ Veronica Smith Ctr,Boston,42.348296,-71.153761,True,0,3.0
70025,Haymarket,Boston,42.363021,-71.05829,True,0,1.0
807,Centre St @ Corey St,Boston,42.286119,-71.155081,True,0,3.0
85566,Baker St @ Amesbury St,Boston,42.28175,-71.168981,True,0,3.0
70112,Chestnut Hill Avenue,Boston,42.33873,-71.152526,False,0,0.0
9070112,Chestnut Hill Avenue - Commonwealth Ave @ Chestnut Hill Ave,Boston,42.33802,-71.15411,True,0,3.0
56567,1532 Hyde Park Ave opp Reservation Rd,Boston,42.246499,-71.128529,True,0,3.0
1777,Brookline Ave @ Pilgrim Rd,Boston,42.342351,-71.103831,True,0,3.0
1115,Cambridge St @ Seattle St,Boston,42.358658,-71.123967,True,0,3.0
14121,Alewife,Cambridge,42.395622,-71.141438,True,0,3.0
node-936-lobby,World Trade Center,Boston,,,True,3,
node-spmnl-sfarepaid,Science Park/West End,Boston,42.36677,-71.06786,True,3,
9070502,Lechmere - Monsignor O'Brien Hwy opp Gore St,Cambridge,42.371793,-71.077843,True,0,3.0
926,Brighton Ave @ Cambridge St,Boston,42.353347,-71.136687,True,0,3.0
212,Summer St @ D St,Boston,42.345781,-71.04118,True,0,3.0
