BLDG_ID,BLDG_NAME,ADDRESS,CITY,ZIPCODE,CSP_SCH_ID,SCH_ID,SCH_NAME,SCH_LABEL,SCH_TYPE,SHARED,COMPLEX,shape_wkt,POINT_X,POINT_Y,source_file,cleaned_date
119.0,Mckinley Peterborough Bldg,97 Peterborough Street,Boston,2215,1293.0,1293.0,McKinley Prep High Sch,McKinley Prep HS,Special,,,POINT (-71.099259999999958 42.343430000000069),-71.09925999999996,42.34343000000007,public_schools.csv,2025-11-30 19:58:12
120.0,Mckinley St Mary'S St Bldg,50 St. Mary Street,Boston,2215,1292.0,1292.0,McKinley Middle,McKinley MS,Special,,,POINT (-71.106759999999952 42.347940000000051),-71.10675999999995,42.34794000000005,public_schools.csv,2025-11-30 19:58:12
121.0,"Curley, J.  Bldg",40 Pershing Road,Jamaica Plain,2130,42721.0,4272.0,Curley Lower (K1-5),Curley K-8 (Lower),K-8,,,POINT (-71.114218306999987 42.318676813000025),-71.11421830699999,42.318676813000025,public_schools.csv,2025-11-30 19:58:12
122.0,"Curley, Mary  Bldg",493 Centre Street,Jamaica Plain,2130,42722.0,4272.0,Curley Upper (6-8),Curley K-8 (Upper),K-8,,,POINT (-71.112949999999955 42.318500000000029),-71.11294999999996,42.31850000000003,public_schools.csv,2025-11-30 19:58:12
124.0,Manning Bldg,130 Louders Lane,Jamaica Plain,2130,4311.0,4311.0,Manning Elementary,Manning,ES,,,POINT (-71.131489999999985 42.305580000000077),-71.13148999999999,42.30558000000008,public_schools.csv,2025-11-30 19:58:12
126.0,Bates Bldg,426 Beech Street,Roslindale,2131,4081.0,4081.0,Bates Elementary,Bates,ES,,,POINT (-71.135329999999954 42.277760000000058),-71.13532999999995,42.27776000000006,public_schools.csv,2025-11-30 19:58:12
127.0,Mozart Bldg,236 Beech Street,Roslindale,2131,4082.0,4082.0,Mozart Elementary,Mozart,ES,,,POINT (-71.14104999999995 42.281220000000076),-71.14104999999995,42.28122000000008,public_schools.csv,2025-11-30 19:58:12
128.0,Russett Road Bldg,140 Russett Road,West Roxbury,2132,4033.0,4033.0,Kilmer Upper (4-8),Kilmer K-8 (Upper),K-8,,,POINT (-71.15236699999997 42.292652000000032),-71.15236699999997,42.29265200000003,public_schools.csv,2025-11-30 19:58:12
129.0,Beethoven Bldg,5125 Washington Street,West Roxbury,2132,4030.0,4030.0,Beethoven Elementary,Beethoven (K1-3),ES,,,POINT (-71.156129999999962 42.263429999000039),-71.15612999999996,42.26342999900004,public_schools.csv,2025-11-30 19:58:12
130.0,Kilmer Bldg,35 Baker Street,West Roxbury,2132,4031.0,4031.0,Kilmer Lower (K1-3),Kilmer K-8 (Lower),K-8,,,POINT (-71.162569505999954 42.271877167000071),-71.16256950599995,42.27187716700007,public_schools.csv,2025-11-30 19:58:12
131.0,West Roxbury Ed. Bldg,1205 V.F.W. Parkway,West Roxbury,2132,1253.0,1253.0,Urban Science Academy,Urban Science Academy,HS,Shared,West Roxbury EC,POINT (-71.174339999999972 42.282259999000075),-71.17433999999997,42.282259999000075,public_schools.csv,2025-11-30 19:58:12
132.0,"Shaw, R.G.  Bldg",20 Mt. Vernon Street,West Roxbury,2132,4331.0,4331.0,Lyndon K-8,Lyndon K-8,K-8,,,POINT (-71.158369999999934 42.282990000000041),-71.15836999999993,42.28299000000004,public_schools.csv,2025-11-30 19:58:12
133.0,Edison Bldg,60 Glenmont Road,Brighton,2135,4178.0,4178.0,Edison K-8,Edison K-8,K-8,,,POINT (-71.160189999999943 42.345580000000041),-71.16018999999994,42.34558000000004,public_schools.csv,2025-11-30 19:58:12
135.0,"Lyon, Mary  Bldg",50 Beechcroft Street,Brighton,2135,4171.0,4171.0,Lyon K-8,Lyon K-8,K-12,,,POINT (-71.161499999999933 42.35107000000005),-71.16149999999993,42.35107000000005,public_schools.csv,2025-11-30 19:58:12
136.0,Garfield Bldg,95 Beechcroft Street,Brighton,2135,1171.0,1171.0,"Lyon, Mary 9-12",Lyon 9-12,K-12,,,POINT (-71.160759999999982 42.352119999000081),-71.16075999999998,42.35211999900008,public_schools.csv,2025-11-30 19:58:12
137.0,Winship Bldg,54 Dighton Street,Brighton,2135,4173.0,4173.0,Winship Elementary,Winship,ES,,,POINT (-71.155347977999952 42.347593036000035),-71.15534797799995,42.347593036000035,public_schools.csv,2025-11-30 19:58:12
