SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,STArea__,STLength__,Shape_Length,Shape_Area,shape_wkt
Wilson Park,City of Boston, ,1,Allston-Brighton,0.097177400000000,10 Wilson Park,Open Space District,"Malls, Squares & Plazas",PWD,BPRD,N,X,,PWD,,PARK_Maintenance_Region 4,2000,YES,02135,2102093500,0,,,0.000868752904593,0.000000042964839,
James H. Roberts Playground,City of Boston,A97,3,Allston-Brighton,1.004071410000000,120 Hooker Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Hooker-Sorrento Street Playground; Roberts Playground,BPRD,156,PARK_Maintenance_Region 4,156,YES,02134,2200030000,0,,,0.002766455802170,0.000000444056810,
Smith Playground,City of Boston,A97/LWCF,3,Allston-Brighton,15.024276940000000,235 Western Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,William F. Smith Playground; North Brighton Playground,BPRD,284,PARK_Maintenance_Region 4,284,YES,02134,2200542000,1894,,,0.011216155134474,0.000006645157199,
Fern Square,City of Boston,A97,1,Allston-Brighton,0.044506310000000,1 Fern Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"James F. Collins Square, Franklin Square",BPRD,115,PARK_Maintenance_Region 4,115,YES,02134,2201194000,0,,,0.000672302150916,0.000000019683207,
Ringer Playground,City of Boston,A97/LWCF/USH,3,Allston-Brighton,10.262426220000000,85 Allston Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Stanley A. Ringer Playground,BPRD,259,PARK_Maintenance_Region 4,259,YES,"02134, 02135",2101101000,1916,,,0.012526446598524,0.000004537983926,
McKinney Playground,City of Boston,A97/USH/CPA,3,Allston-Brighton,5.891486070000000,74 Faneuil Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,193,PARK_Maintenance_Region 4,193,YES,02135,2202540000,1930,,,0.006924114855163,0.000002605351444,
Hobart Park,City of Boston,A97/LWCF,3,Allston-Brighton,0.812988400000000,85 Hobart Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,154,PARK_Maintenance_Region 4,154,YES,02135,2202935000,1970,,,0.002457514061056,0.000000359527841,"MULTIPOLYGON (((-71.161011412999983 42.356056817000081, -71.161433587999966 42.356127943000047, -71.161521413999935 42.355771985000047, -71.161613575999979 42.355410283000026, -71.161076359999981 42.355315647000054, -71.161011412999983 42.356056817000081)))"
Market Street Burying Ground,City of Boston,Ch114S7/A97,4,Allston-Brighton,0.397037340000000,380 Market Street,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,188,PARK_Cemetery Maintenance Request,188,YES,02135,2202372000,1764,,,0.001775067630977,0.000000175567105,"MULTIPOLYGON (((-71.151978643999939 42.350576428000068, -71.152427984999974 42.350605714000039, -71.152648435999936 42.350266882000028, -71.152345793999984 42.350256244000036, -71.15207081899996 42.350246500000026, -71.151978643999939 42.350576428000068)))"
Jackson Square,City of Boston,A97,1,Allston-Brighton,0.120315400000000,58 Chestnut Hill Avenue,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Viola Square,BPRD,162,PARK_Maintenance_Region 4,162,YES,02135,2102849000,0,,,0.000871358697336,0.000000053199101,
Reilly Playground,Commonwealth of Massachusetts,A97,3,Allston-Brighton,6.930912320000000,355 Chestnut Hill Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR,NULL,X,X,Reilly Memorial Recreation Center,,,INFO_Reallocation From Dept,3000,YES,02135,,0,,,0.008311602647853,0.000003064135437,
Chestnut Hill Reservation IV,City of Boston,A97,1,Allston-Brighton,0.481799380000000,2200 Commonwealth Avenue,Institutional District,"Malls, Squares & Plazas",BPRD,DCR,X,X,Boyden Park,,,INFO_Reallocation From Dept,3001,YES,02467,2102442005,1899,,,0.001877775947482,0.000000213012293,
Evergreen Cemetery,City of Boston,Ch114S7/A97/CPA,4,Allston-Brighton,20.486858930000000,2060 Commonwealth Avenue,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,110,PARK_Cemetery Maintenance Request,110,YES,02135,"2102444000,2102444001,2102443001",1848,,,0.012868685016360,0.000009057495412,
Hardiman Playground,City of Boston,A97,3,Allston-Brighton,1.473055660000000,380 Faneuil Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,PFC Kevin B. Hardiman Playground; Tar Park,BPRD,143,PARK_Maintenance_Region 4,143,YES,02135,2203801020,1948,,,0.003489442913872,0.000000651384414,"MULTIPOLYGON (((-71.165695361999951 42.351016009000034, -71.165679121999972 42.351126427000054, -71.165660560999981 42.351239540000051, -71.165643114999966 42.351348243000075, -71.165627000999962 42.351457762000052, -71.165609550999989 42.351567276000026, -71.165581009999983 42.351754362000065, -71.166311227999984 42.351541765000036, -71.166733620999935 42.351401285000065, -71.166799148999985 42.351035238000065, -71.165705302999982 42.350949237000066, -71.165695361999951 42.351016009000034)))"
Rogers Park,City of Boston,A97,3,Allston-Brighton,8.183674940000000,30 Rogers Park Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Thomas Galvin Park; Rogers-Galvin Park; Galvin Ball Fields,BPRD,267,PARK_Maintenance_Region 4,267,YES,02135,2205190000,1899,,,0.009013204756507,0.000003618609753,
Chandler Pond,City of Boston,A97/WPA/CPA,3,Allston-Brighton,19.032935800000001,95 Lake Shore Road,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Alice E. Gallagher Memorial Park; Gallagher Memorial Park,BPRD,128,PARK_Maintenance_Region 4,128,YES,02135,"2205651000,2205530000,2205550000",1943,,,0.013492903256402,0.000008415549168,
Mullin Square,City of Boston,A97,1,Dorchester,0.226754630000000,24 Edison Green,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"Drohan Square, Edison Green, Mullen Square",BPRD,210,PARK_Maintenance_Region 2,210,YES,02125,1301906000,0,,,0.001395482929236,0.000000100220638,
Dorchester North Burying Ground,City of Boston,Ch114S7/A97,4,Dorchester,3.234058650000000,611 Columbia Road,Commercial/Office/Business District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,089,PARK_Cemetery Maintenance Request,89,YES,02125,"0703999000,0703999010",1633,,,0.005733890180834,0.000001429337850,
Downer Avenue Playground,City of Boston,A97,3,Dorchester,0.779118780000000,40 Downer Avenue,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,092,PARK_Maintenance_Region 2,92,YES,02125,1301674000,1972,,,0.003107251727866,0.000000344312445,"MULTIPOLYGON (((-71.061115989999962 42.311416902000076, -71.062118366999982 42.311947234000058, -71.062376448999942 42.311824629000057, -71.062265866999951 42.311773543000072, -71.062141073999953 42.311670036000066, -71.061225563999983 42.311123480000049, -71.061095627999975 42.311411910000061, -71.061115989999962 42.311416902000076)))"
Quincy/Stanley Play Area,City of Boston,A97,3,Dorchester,0.375226540000000,21 Stanley Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Quincy Stanley Play Area; Stanley Street Play Area,BPRD,251,PARK_Maintenance_Region 5,251,YES,02125,1502974000,1955,,,0.001736944934808,0.000000165820734,"MULTIPOLYGON (((-71.068430889999945 42.311144408000075, -71.068706904999942 42.311318464000067, -71.069133816999965 42.310947748000046, -71.068758554999988 42.310832213000026, -71.068430889999945 42.311144408000075)))"
Deer Street Park,City of Boston,A97,3,Dorchester,0.246558640000000,39 Deer Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD + private,X,X, ,BPRD,080,PARK_Maintenance_Region 2,80,YES,02125,1502549000,0,,,0.001526475148440,0.000000108959675,
Savin Hill Beach,Commonwealth of Massachusetts,A97,2,Dorchester,3.433781670000000,68 Denny Street,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X, ,,,INFO_Reallocation From Dept,3002,YES,02125,,0,,,0.012300422698073,0.000001517366697,
Coppens Square,City of Boston,A97/CPA,1,Dorchester,0.357025890000000,325 Bowdoin Street,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Rev. Francis X. Coppens Square; Eaton Square,BPRD,070,PARK_Maintenance_Region 2,70,YES,02122,1502942500,0,,,0.001598944964158,0.000000157771008,
Old Harbor Park,Commonwealth of Massachusetts,A97/LWCF/WPA/Ch91,2,Dorchester,8.044038270000000, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR,NULL,X,X, ,,,INFO_Reallocation From Dept,3003,YES,02125,,0,,,0.022485273068617,0.000003555299337,
McConnell Park,City of Boston,A97/LWCF,3,Dorchester,6.761909610000000,30 Denny Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Savin Hill Playground,BPRD,191,PARK_Maintenance_Region 2,191,YES,02125,"1302238000,1302237000",1899,,,0.010688509671292,0.000002988140370,
Boston Common,City of Boston,A97/LWCF/NHL,3,Back Bay/Beacon Hill,45.738120139999999,139 Tremont St (Visitor Info Center) 1B Charles St (Earl of Sandwich)  38 Beacon St (Frog Pond) 167 Tremont St (Parkman Bandstand) 115 Boylston St (Deer Park),Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,The Common,BPRD,027,PARK_Maintenance_Region 1,27,YES,02108,"0500812001,0500812001,0500812000,0500812001,0500812001",1634,,,0.020296345585127,0.000020226548099,
Central Burying Ground,City of Boston,A97/NHL/PR/BL,4,Back Bay/Beacon Hill,1.489077790000000,125 Boylston Street,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,047,PARK_Cemetery Maintenance Request,47,YES,02108,0500813000,1756,,,0.003721716221243,0.000000658485857,"MULTIPOLYGON (((-71.065333671999952 42.353222771000048, -71.066067793999935 42.353216315000054, -71.066857863999985 42.352615425000067, -71.065597360999959 42.352539723000064, -71.065333671999952 42.353222771000048)))"
Public Garden,City of Boston,A97/LWCF,3,Back Bay/Beacon Hill,23.506634739999999,4 Charles Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,246,PARK_Maintenance_Region 1,246,YES,"02108, 02116",0501259000,1823,,,0.013113145730119,0.000010395074214,
Granary Burying Ground,City of Boston,A97/NRHP/PR/BL,4,Central Boston,1.856716620000000,95 Tremont Street,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,137,PARK_Cemetery Maintenance Request,137,YES,02108,0304676000,1660,,,0.003769754035297,0.000000821117982,
Phillips Street Play Area,City of Boston,A97,3,Back Bay/Beacon Hill,0.126143690000000,21 Phillips Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,237,PARK_Maintenance_Region 1,237,YES,02114,0502198000,1941,,,0.001120416284078,0.000000055788677,
Myrtle Street Playground,City of Boston,A97/LWCF,3,Back Bay/Beacon Hill,0.160730230000000,50 Myrtle Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,212,PARK_Maintenance_Region 1,212,YES,02114,0501878000,1949,,,0.001138601323177,0.000000071083264,"MULTIPOLYGON (((-71.065898692999951 42.359102303000043, -71.065900369999952 42.359285902000067, -71.066289678999965 42.359278345000064, -71.06628072999996 42.359095081000078, -71.066254235999963 42.359095466000042, -71.066176302999963 42.359096690000058, -71.066111595999985 42.359097495000071, -71.066056561999972 42.359097958000063, -71.065946043999986 42.35910004200008, -71.065898692999951 42.359102303000043)))"
Copley Square Park I,City of Boston,A97,1,Back Bay/Beacon Hill,1.816920470000000,560 Boylston Street,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Copley Square,BPRD,069,PARK_Maintenance_Region 1,69,YES,02116,0401089000,1968,,,0.004863112311120,0.000000803420001,
Clarendon Street Playlot,City of Boston,A97,3,Back Bay/Beacon Hill,0.323895770000000,260 Clarendon Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Commonwealth Playground,BPRD,058,PARK_Maintenance_Region 1,58,YES,02116,0502921000,1975,,,0.001531198775770,0.000000143229486,"MULTIPOLYGON (((-71.076306909999971 42.352682605000041, -71.07646325199994 42.35300395400003, -71.076857600999972 42.352898381000045, -71.076701256999968 42.352577030000077, -71.076306909999971 42.352682605000041)))"
DeFilippo Playground,City of Boston,A97,3,Central Boston,1.118037420000000,135 Prince Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Pvt. John DeFilippo Playground; Snow Hill Street Playground; ""The Gassy"",BPRD,081,PARK_Maintenance_Region 1,81,YES,02113,0301936000,1937,,,0.003006303482910,0.000000494511876,"MULTIPOLYGON (((-71.056572315999972 42.366157691000069, -71.056586189999962 42.36641897800007, -71.056575188999943 42.366677216000028, -71.05654171599997 42.367043534000061, -71.057413679999968 42.366612959000065, -71.057084778999979 42.366251236000039, -71.05706306899998 42.36622892400004, -71.056980138999961 42.36616394300006, -71.056728297999939 42.366001465000068, -71.056572315999972 42.366157691000069)))"
Copp's Hill Burying Ground,City of Boston,A97/NRHP/PR,4,Central Boston,2.015463810000000,Opposite 34 Hull Str.,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,071,PARK_Cemetery Maintenance Request,71,YES,02113,0302160000,1659,,,0.004298954552568,0.000000891458543,"MULTIPOLYGON (((-71.055122591999975 42.366977005000081, -71.055503383999962 42.367173422000064, -71.055427122999959 42.367298086000062, -71.055451441999935 42.367308045000073, -71.05534096699995 42.36747988500008, -71.055424425999945 42.367526166000061, -71.056310439999947 42.367985345000079, -71.056426580999982 42.367109533000075, -71.055344549999973 42.366695573000072, -71.055122591999975 42.366977005000081)))"
Copp's Hill Terrace,City of Boston,A97/NRHP,1,Central Boston,0.608735160000000,536 Commericial Str.,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,North End Park,BPRD,072,PARK_Maintenance_Region 1,72,YES,02113,0301982000,1893,,,0.002248165263486,0.000000269251721,"MULTIPOLYGON (((-71.054878002999942 42.367878764000068, -71.05570135399995 42.36808205300008, -71.055749686999945 42.367802626000071, -71.055185568999946 42.367509331000065, -71.054878002999942 42.367878764000068)))"
Foster Street Play Area,City of Boston,A97,3,Central Boston,0.107577350000000,15 Foster Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Foster Street Playground; Foster Street Park,BPRD,123,PARK_Maintenance_Region 1,123,YES,02113,0302026000,1930,,,0.000963203171079,0.000000047582648,"MULTIPOLYGON (((-71.053926821999937 42.367446039000072, -71.053950569999984 42.367454869000028, -71.053923409999982 42.367491607000034, -71.05412421799997 42.367564496000057, -71.054198065999969 42.367476214000078, -71.054134322999971 42.367449128000032, -71.054200548999972 42.367349320000073, -71.054144214999951 42.367325526000059, -71.054036414999985 42.367282227000032, -71.053926821999937 42.367446039000072)))"
Charter Street Park,City of Boston,A97,3,Central Boston,0.238695640000000,21P Charter Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,052,PARK_Maintenance_Region 1,52,YES,02113,"0302067001,0302068000",1940,,,0.001541119703598,0.000000105576605,
Paul Revere Mall,City of Boston,A97,1,Central Boston,0.857110120000000,370 Hanover Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,The Prado;  Webster Avenue Playground,BPRD,231,PARK_Maintenance_Region 1,231,YES,02113,"0302074000,0302150000",1925,,,0.004015261416971,0.000000379099135,
Polcari Park,City of Boston,A97,3,Central Boston,0.278922860000000,45 Prince Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Capt. Louis Polcari Park; Prince Street Playground,BPRD,240,PARK_Maintenance_Region 1,240,YES,02113,0302320000,1897,,,0.001691777689911,0.000000123366116,"MULTIPOLYGON (((-71.05411944399998 42.365162661000056, -71.05429331199997 42.365285869000047, -71.054495340999949 42.365110235000031, -71.054787459999943 42.36487396900003, -71.05461739499998 42.364768446000028, -71.05440729299994 42.364938355000049, -71.05411944399998 42.365162661000056)))"
Cutillo Park,City of Boston,A97/LWCF,3,Central Boston,0.289338120000000,10 Stillman Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Vincent Cutillo Park; Stillman Street Park,BPRD,077,PARK_Maintenance_Region 1,77,YES,02113,0302466000,1917,,,0.001648273888358,0.000000127969456,
City Hall Plaza,BRA,A97,1,Central Boston,6.013618110000000,1 City Hall Square,Open Space District,"Malls, Squares & Plazas",NULL,NULL,X,X,City Hall Square,,,INFO_Reallocation From Dept,2141,YES,02203,,0,,,0.009338410435291,0.000002659583221,
Angell Memorial Square,City of Boston,A97,1,Central Boston,0.176633990000000,152-158 Congress Street,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,010,PARK_Maintenance_Region 1,10,YES,02109,ROW,1957,,,0.001220843527453,0.000000078114257,
Langone Park,City of Boston,A97/Ch91/WPA/CPA,3,Central Boston,2.183732110000000,529-543 Commercial Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Joseph & Clementine Langone Park,BPRD,175,PARK_Maintenance_Region 1,175,YES,02109,"0303056000,0303057000,0303058000",1973,,,0.004597300592637,0.000000965906308,
Prince Street Park,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Central Boston,1.283925800000000,Commercial Street,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X, ,,,INFO_Reallocation From Dept,3004,YES,02109,,0,,,0.006963590448289,0.000000567898130,
Rachel Revere Square,City of Boston,A97,1,Central Boston,0.080357440000000,200 North Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,252,PARK_Maintenance_Region 1,252,YES,02113,0303252000,1945,,,0.000764940239046,0.000000035540857,"MULTIPOLYGON (((-71.053374547999965 42.363471264000054, -71.053435615999945 42.363575338000032, -71.053484519999984 42.363654679000035, -71.053625875999955 42.363569777000066, -71.053651382999988 42.363508858000046, -71.053613888999962 42.363439648000053, -71.053374547999965 42.363471264000054)))"
Tai Tung Park,City of Boston,A97,3,Central Boston,0.033493400000000,110 Tyler Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Tai Tung Tot Lot,BPRD,299,PARK_Maintenance_Region 1,299,YES,02111,0305123000,1991,,,0.000641152149296,0.000000014810225,
Leo F. McCarthy Playground,City of Boston,A97,3,Charlestown,1.338656860000000,10 Eden Street,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"McCarthy-Eden Playground, Leo McCarthy Playground, Edwards Playground",BPRD,101,PARK_Maintenance_Region 1,101,YES,02129,"0201032000,0201033000,0201031000,0201021010",1991,,,0.003346059047152,0.000000592213798,
City Square Park,Commonwealth of Massachusetts,A97/LL,1,Charlestown,1.208688250000000, ,Open Space District,"Malls, Squares & Plazas",DCR,NULL,X,X, ,,,INFO_Reallocation From Dept,3005,YES,02129,,0,,,0.003018721154079,0.000000534650865,
John Harvard Mall,City of Boston,A97,1,Charlestown,0.812878980000000,7D Main Street,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Harvard Mall,BPRD,145,PARK_Maintenance_Region 1,145,YES,02129,0203709000,1943,,,0.003061261804550,0.000000359574543,
Paul Revere Park,Commonwealth of Massachusetts,A97,2,Charlestown,6.400243620000000, ,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X, ,,,INFO_Reallocation From Dept,3006,YES,02129,,0,,,0.007226634827143,0.000002831008034,
Charlestown H.S. Athletic Fields,City of Boston,Ch91/WPA,3,Charlestown,10.476543310000000,39 Terminal Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPS,BPRD,N,X,Little Mystic Harborwalk,BPS,051,PARK_Maintenance_Region 1,51,YES,02129,0202735000,0,,,0.020756026263474,0.000004634872283,
Ryan Playground,City of Boston,A97/USH/Ch91/WPA,3,Charlestown,8.776011920000000,75 Alford Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,John J. Ryan Playground; Charlestown Playground,BPRD,274,PARK_Maintenance_Region 1,274,YES,02129,0201830000,1891,,,0.009123190423807,0.000003882853251,"MULTIPOLYGON (((-71.069863427999962 42.386447444000055, -71.071991931999946 42.38759903700003, -71.072273831999951 42.387014557000043, -71.072618825999939 42.384865398000045, -71.072548747999974 42.38485514100006, -71.072574187999976 42.384769022000057, -71.072632714999941 42.384778855000036, -71.072667621999983 42.384561381000026, -71.071711218999951 42.385239118000072, -71.071649198999978 42.385188382000081, -71.069863427999962 42.386447444000055)))"
Barry Playground,City of Boston,A97/PARC/Ch91/WPA,3,Charlestown,3.551110990000000,41 Medford Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,William. J. Barry Playground; Mystic Playground; ""The Oily"",BPRD,015,PARK_Maintenance_Region 1,15,YES,02129,0202733000,1897,,,0.005527538437510,0.000001570991790,"MULTIPOLYGON (((-71.054233229999966 42.379931633000069, -71.054285987999947 42.379800231000047, -71.054537484999969 42.379171750000069, -71.054142258999946 42.379149850000033, -71.053376382999943 42.378739734000078, -71.052358980999941 42.379790255000046, -71.052345130999981 42.379804192000051, -71.053315874999953 42.379958310000063, -71.053358212999967 42.379910700000039, -71.053550562999988 42.379896390000056, -71.053546190999953 42.379931914000053, -71.054233229999966 42.379931633000069)))"
Doherty Playground,City of Boston,A97/USH,3,Charlestown,3.752241070000000,349 Bunker Hill Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Charlestown Heights,BPRD,087,PARK_Maintenance_Region 1,87,YES,02129,"0201465000,0201503000",1891,,,0.005319465348316,0.000001660037617,
St Francis De Sales Cemetery,Private, ,4,Charlestown,1.799779760000000,313 Bunker Hill Street,Residential District,Cemeteries & Burying Grounds,Private,NULL,N,,,,,INFO_Reallocation From Dept,7010,NO,02129,,0,,,0.004262410313432,0.000000796237396,
Phipps Street Burying Ground,City of Boston,Ch114S7/A97,4,Charlestown,1.721684410000000,25 Phipps Street,Residential District,Cemeteries & Burying Grounds,BPRD,BPRD,X,A,,BPRD,238,PARK_Cemetery Maintenance Request,238,YES,02129,0202341000,1630,,,0.003577986125287,0.000000761624377,
Winthrop Square,City of Boston,A97,1,Charlestown,0.900802860000000,55 Winthrop Street,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Training Field,BPRD,326,PARK_Maintenance_Region 1,326,YES,02129,0203340000,1848,,,0.002486458563371,0.000000398477592,
Hayes Square,City of Boston,A97,1,Charlestown,0.174708550000000,45 Bunker Hill Street,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,,BPRD,148,PARK_Maintenance_Region 1,148,YES,02129,0202640000,0,,,0.001216392384528,0.000000077286574,
Charlestown Sprouts Garden,City of Boston, ,5,Charlestown,0.416328920000000,69 Terminal Street,Open Space District,Community Gardens,NULL,NULL,N,,,,,PARK_Maintenance_Region 1,2006,NO,02129,,0,,,0.001871676393663,0.000000184187814,
East Boston Memorial Park I,City of Boston,A97/UPARR,3,East Boston,17.680542630000001,143 Porter St,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Satori Stadium,BPRD,098,PARK_Maintenance_Region 1,98,YES,02128,"0104164001,0104164004,0104164003,0104164002,0104164006,0104164007,0104164008",1925,,,0.023073860665320,0.000007820789746,
Noyes Playground,City of Boston,A97/LWCF,3,East Boston,8.316590489999999,86 Boardman Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,216,PARK_Maintenance_Region 1,216,YES,02128,0100524000,1909,,,0.008657063970732,0.000003679681749,
Temple Ohabei Shalom Cemetery,Private, ,4,East Boston,2.339523460000000,147 Wordsworth Street,Open Space District,Cemeteries & Burying Grounds,Private,NULL,N,,,,,INFO_Reallocation From Dept,7011,NO,02128,,0,,,0.004092693777021,0.000001035037453,"MULTIPOLYGON (((-71.014443128999972 42.382178065000062, -71.01419655899997 42.38235969200008, -71.014674131999982 42.383075366000071, -71.015670929999942 42.382703607000053, -71.015218129999937 42.382034316000045, -71.015062471999954 42.381810028000075, -71.015023160999988 42.38175818600007, -71.014443128999972 42.382178065000062)))"
Cuneo Park,City of Boston,A97,3,East Boston,0.230676490000000,765 Saratoga Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Saratoga St. Play Area,BPRD,074,PARK_Maintenance_Region 1,74,YES,02128,0100925000,1969,,,0.001304326486447,0.000000102056293,"MULTIPOLYGON (((-71.016507615999956 42.383624879000081, -71.016673934999972 42.383869646000051, -71.017010285999959 42.38374636900005, -71.016885362999972 42.383566777000055, -71.016866380999943 42.383539959000075, -71.016841395999961 42.38350420300003, -71.016507615999956 42.383624879000081)))"
Bennington Street Cemetery,City of Boston,Ch114S7/A97,4,East Boston,3.589805310000000,495 Bennington Street,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,A,,BPRD,022,PARK_Cemetery Maintenance Request,22,YES,02128,0104274000,1838,,,0.005238269937008,0.000001588144668,"MULTIPOLYGON (((-71.019968727999981 42.38080328500007, -71.020131571999968 42.381042721000028, -71.020546355999954 42.38165484600006, -71.022039534999976 42.381103240000073, -71.021455813999978 42.380252562000067, -71.019968727999981 42.38080328500007)))"
American Legion Playground,City of Boston,A97/LWCF/UPARR/PARC,3,East Boston,3.380389310000000,25 Glendon Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,009,PARK_Maintenance_Region 1,9,YES,02128,0100312000,1924,,,0.004932239118002,0.000001495520190,"MULTIPOLYGON (((-71.028733409999973 42.381402843000046, -71.028892116999941 42.382502295000052, -71.030174018999958 42.38250430100004, -71.030177152999954 42.381408572000055, -71.028733409999973 42.381402843000046)))"
Prescott Square,City of Boston,A97,1,East Boston,0.274691660000000,2 Prescott Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,,BPRD,245,PARK_Maintenance_Region 1,245,YES,02128,0103200000,0,,,0.001626352504933,0.000000121524942,"MULTIPOLYGON (((-71.030552000999933 42.381159880000041, -71.03055117699995 42.381268814000066, -71.031217545999937 42.38127359300006, -71.031021132999967 42.380983920000062, -71.030552000999933 42.381159880000041)))"
Putnam Square,City of Boston,A97,1,East Boston,0.266821490000000,70 Putnam Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,,BPRD,249,PARK_Maintenance_Region 1,249,YES,02128,0103148000,0,,,0.001634170947557,0.000000118041813,
Paris Street Playground,City of Boston,A97,3,East Boston,1.264905130000000,115 Paris Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,226,PARK_Maintenance_Region 1,226,YES,02128,0105745000,1912,,,0.003544032499301,0.000000559522803,
Brophy Park,City of Boston,A97/LWCF,3,East Boston,0.782476290000000,192 Webster Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Belmont Square,BPRD,033,PARK_Maintenance_Region 1,33,YES,02128,0104724000,0,,,0.002460288665066,0.000000346087976,"MULTIPOLYGON (((-71.033111623999957 42.365893516000028, -71.033541596999953 42.366084682000064, -71.034014667999941 42.365489882000077, -71.03358239399995 42.365299955000069, -71.033111623999957 42.365893516000028)))"
