SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,STArea__,STLength__,Shape_Length,Shape_Area,shape_wkt
Ross Playground,City of Boston,A97,3,Hyde Park,13.124106550000000,145 Westminster Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,270,PARK_Maintenance_Region 4,270,YES,02136,1807056000,1936,,,0.009948762108299,0.000005795551374,
Mt. Hope Cemetery,City of Boston,Ch114S7/A97/CPA,4,Roslindale,125.038234369999998,355 Walk Hill Street,Residential District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X,,BPRD,207,PARK_Cemetery Maintenance Request,207,YES,02131,1806135000,1851,,,0.038044192853972,0.000055232400564,
Calvary Cemetery,Private, ,4,Roslindale,47.233488690000001,Mount Calvary Road,Residential District,Cemeteries & Burying Grounds,Private,Private,N,,,,,INFO_Reallocation From Dept,7186,NO,02131,,0,,,0.020386863778334,0.000020862564684,
New Calvary Cemetery,Private, ,4,Mattapan,59.442283279999998,800 Harvard Street,Open Space District,Cemeteries & Burying Grounds,Private,Private,N,,,,,INFO_Reallocation From Dept,7187,NO,02126,,0,,,0.024921631120605,0.000026255874772,
Savin Hill Park,City of Boston,A97,3,Dorchester,8.289718870000000,25 Caspian Way,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,276,PARK_Maintenance_Region 2,276,YES,02125,1302499000,1909,,,0.008779608373950,0.000003663396154,
Southwest Corridor Park,MBTA,A97,2,Multi-District,47.571706110000001,38 New Heath Street,Industrial District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,,DCR,,INFO_Reallocation From Dept,4093,YES,"02118, 02130, 02119, 02115, 02116, 02120",,0,,,0.160865605352098,0.000021026481952,
Orton Field,City of Boston,A97,3,South Boston,1.594341320000000,200 D Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Condon Playground,BPRD,222,PARK_Maintenance_Region 6,222,YES,02127,0600312000,0,,,0.003446889856691,0.000000704878879,
Paul Gore Street Park,City of Boston,A97,3,Jamaica Plain,0.733962660000000,60 Paul Gore Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Paul Gore Street Garden;  Paul Gore Street Playground,BPRD,230,PARK_Maintenance_Region 3,230,YES,02130,1900248000,0,,,0.002538829572003,0.000000324399021,
Allen Park,City of Boston,A97,3,Dorchester,1.293359540000000,1-19 Church Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Rev James K Allen Park, James F Donovan Park, Dorchester Square or Common",BPRD,005,PARK_Maintenance_Region 2,5,YES,02122,1500365000,0,,,0.003092097785888,0.000000571537989,
Boston Nature Center Visitor Center,City of Boston,Agrmnt,3,Mattapan,2.330467820000000,500 Walk Hill Street,Industrial District,"Parks, Playgrounds & Athletic Fields",White Fund,Mass Audubon Society,X,X,G R White Env Conserv Ctr,,,INFO_Reallocation From Dept,2125,YES,"02126, 02131",1405198400,0,,,0.004105133260329,0.000001029519673,"MULTIPOLYGON (((-71.101249025999948 42.287800716000049, -71.100783104999948 42.287889894000045, -71.100701471999969 42.287907265000058, -71.10063637099995 42.288535047000039, -71.101263801999949 42.288691077000067, -71.101958797999941 42.28875828200006, -71.101765801999989 42.287726845000066, -71.101249025999948 42.287800716000049)))"
